ID,Role,EFT,Gender,Night_Pool,Prior_Consecutive_Days,Last_Shift_Type,Approved_Leave_Days,Requested_RDOs,Unavailable_DOW,Allow_Fragmented_Shifts,Entire_Roster_Leave,Secondary_Role,Secondary_EFT,No_AM_DOW,No_PM_DOW,Preferred_Shift,Study_Leave_Days,External_Working_Days
1,ANUM,0.7,Female,False,0,,,,,False,False,,0.0,,,,,
2,ANUM,0.6,Female,False,4,AM,,,,False,False,RN (In Charge),0.2,,,,,
3,ANUM,0.7,Female,False,0,,,,,False,False,,0.0,,"Monday, Wednesday, Thursday",,,
4,ANUM,0.8,Female,True,4,PM,,,,False,False,,0.0,,,,,
5,ANUM,0.2,Female,False,0,,,,,False,False,,0.0,,,,,"3, 4, 5, 10, 11, 12"
6,ANUM,0.6,Male,False,0,,,,,False,False,RN (In Charge),0.2,,,,,
7,RN (In Charge),0.5,Male,False,0,,,,,False,False,,0.0,,,,,
8,RN (In Charge),0.6,Female,False,0,,,,,False,False,,0.0,,,,,
9,RN (In Charge),0.7,Female,True,0,,,,,False,False,,0.0,,,,,
10,RN (In Charge),0.8,Female,True,0,,,,,False,False,,0.0,,,,,
11,RN (In Charge),0.6,Female,False,0,,,,,False,True,,0.0,,,,,
12,RN (In Charge),0.8,Female,False,5,AM,,,,False,False,,0.0,,,,,
13,RN (In Charge),0.8,Female,True,0,,,,,False,False,,0.0,,,,,
14,RN (In Charge),0.4,Female,True,2,Night,,,,False,False,,0.0,,,,,
15,RN (In Charge),0.6,Female,True,1,Night,,,,False,False,,0.0,,,,,
16,RN (In Charge),0.7,Female,False,0,,,,,False,False,,0.0,,,,,
17,RN (In Charge),0.6,Female,False,0,,,,,False,False,,0.0,,,,,
18,RN (In Charge),0.6,Male,False,3,PM,,,,False,False,,0.0,,,,,
19,RN (In Charge),0.8,Male,False,4,AM,,,,False,False,,0.0,,,,,
20,RN,0.6,Male,False,0,,,,,False,False,,0.0,,,,,
21,RN,0.7,Male,False,3,PM,,,,False,False,,0.0,,,,,
22,RN,0.8,Female,False,0,,,,,False,True,,0.0,,,,,
23,RN,0.8,Male,False,0,,,,,False,False,,0.0,,,,,
24,RN,0.6,Female,True,0,,,,Tuesday,False,False,,0.0,,,,,
25,RN,0.8,Female,False,3,AM,,,,False,False,,0.0,,,,,
26,EN/Learner,1.0,Female,True,4,Night,,,,False,False,,0.0,,,,,
27,EN/Learner,0.3,Female,False,0,,,,,False,True,,0.0,,,,,
28,EN/Learner,1.0,Female,False,0,,,,,False,False,,0.0,,,,,
29,EN/Learner,0.6,Female,True,0,,,,,False,False,,0.0,,,,,
30,EN/Learner,0.8,Male,False,5,AM,,,,False,False,,0.0,,,,,
31,EN/Learner,0.8,Female,False,0,,,,,False,False,,0.0,,,,,
